Hugo_Symbol	Entrez_Gene_Id	Patient_example_TD
MICB	4277	1
PPIAP9	5491	1
RPL15P4	100129921	1
MCCD1	401250	1
DDX39B	7919	1
ATP6V1G2-DDX39B	100532737	1
SNORD117	692233	1
SNORD84	692199	1
DDX39B-AS1	106478957	1
ATP6V1G2	534	1
NFKBIL1	4795	1
LTA	4049	1
TNF	7124	1
LTB	4050	1
LST1	7940	1
NCR3	259197	1
UQCRHP1	100130756	1
AIF1	199	1
PRRC2A	7916	1
SNORA38	677820	1
MIR6832	102466745	1
BAG6	7917	1
APOM	55937	1
C6orf47	57827	1
C6orf47-AS1	106480731	1
GPANK1	7918	1
CSNK2B	1460	1
LY6G5B	58496	1
LY6G5C	80741	1
ABHD16A	7920	1
MIR4646	100616230	1
LY6G6F	259215	1
LY6G6E	79136	1
LY6G6D	58530	1
MPIG6B	80739	1
LY6G6C	80740	1
DDAH2	23564	1
CLIC1	1192	1
MSH5	4439	1
MSH5-SAPCD1	100532732	1
RNU6-850P	106481919	1
SAPCD1	401251	1
SAPCD1-AS1	104413891	1
VWA7	80737	1
VARS1	7407	1
LSM2	57819	1
HSPA1L	3305	1
HSPA1A	3303	1
HSPA1B	3304	1
SNHG32	50854	1
SNORD48	26801	1
SNORD52	26797	1
NEU1	4758	2
SLC44A4	80736	2
EHMT2	10919	1
C2	717	1
